Set,,2 pieces,3 pieces,4 pieces,5 pieces,Location,Binding,Style
Aspect of Mazzatun,,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 1096 Max Magicka,"When you fall below 30% Health, heal for 7052? Health and restore 6020? Magicka and 6020? Stamina (up to once every 45 seconds)",Ruins of Mazzatun,Pickup,
Automated Defense,,Adds 1206 Max Health,Gain Minor Aegis (reducing damage taken from Dungeon & Trial Monsters by 5%) at all times,Adds 4% Healing Taken,"Upon using an Ultimate, you and the 2 closest group members within 28 meters gain Major Aegis (reducing damage taken from Dungeon & Trial Monsters by 15%) for 10 seconds",Halls of Fabrication,Pickup,
Bahara's Curse,,Adds 1206 Max Health,Adds 1096 Max Magicka,Adds 1096 Max Stamina and Reduce Damage from Environmental Traps by 40%,Dealing Damage has 25% chance to create Desecrated Ground for 5 seconds which reduces enemy movement speed 70% while damaging them and healing you for 860 Magic Damage every 1 second,Hew's Bane,Equip,
Bani's Torment,,Adds 4% Healing Taken,Adds 1206 Max Health,Adds 1096 Max Stamina,"When you Taunt a nearby enemy you tether to them for 5 seconds. While tethered you apply Major Maim to your enemy, reducing their damage done by 30% and gain Major Vitality, increasing your healing taken by 30%.",Icereach,Pickup,
,,,,,The tether is broken if the enemy moves 8 meters away from you.,,,
,,,,,Cooldown: 14 seconds.,,,
Bastion of the Heartland,,Adds 1206 Max Health,Adds 4% Healing Taken,Reduces damage taken from Players by 5%,Reduces damage taken from Siege Weapons and Player Area of Effect abilities by 20%,Cyrodiil,Equip,
Battalion Defender,,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 4% Healing Done,"After successfully blocking, heal yourself or a nearby group memeber with the lowest health by 2000. (cooldown: 1 second)",Cyrodiil,,
Beckoning Steel,,Adds 1487 Armor,Adds 1206 Max Health,Adds 2975 Physical Resistance,Generate an aura that causes you and 11 group members within the aura to take 10% less damage from projectiles. (can only be affected by one instance of Beckoning Steel),Cyrodiil,Equip,
Berserking Warrior,,Adds 823 Weapon Critical,Adds 129 Weapon Damage,Adds 823 Weapon Critical,"When you deal melee damage, Critical Strike rating is increased by 400? for 6 seconds, stacking (after 0.5 second cooldown) up to 5 times",Hel Ra Citadel,Pickup,
aka Advancing Yokeda,,,,,,,,
Beekeeper's Gear,,Adds 1206 Max Health,Adds 129 Health Recovery,Adds 129 Health Recovery,Adds 400 Health Recovery,Greenshade,Equip,
Black Rose,,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 1096 Max Magicka,Increases Weapon & Spell Damage by 154. Increases Magicka & Stamina restored from the Constitution passive ability by 35%,Imperial City,Equip,
Brands of Imperium,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 4% Healing Taken,"When you take damage, 10% chance to grant you and group members within 8 meters a Damage Shield tha absorbs 12040? Damage for 6 seconds (up to once every 15 seconds)",White-Gold Tower,Pickup,
Call of the Undertaker,,Adds 4% Healing Taken,Adds 1206 Max Health,Adds 4% Healing Done,"Adds 1206 Max Health and when you deal damage with a Light Attack, apply Minor Lifesteal for 8 seconds (healing you and your allies for 600 Health every 1 second while damaging them)",Elsweyr,Equip,
Champion of the Hist,,Adds 129 Weapon Damage,Adds 1096 Max Stamina,Adds 1096 Max Stamina,"Gain Minor Heroism at all times while in combat, generating 1 Ultimate every 1.5 seconds",Murkmire,Equip,
Claw of Yolnakhriin,,Adds 1206 Max Health,"Gain Minor Aegis (reducing damage taken from Dungeon, Trial, & Arena Monsters by 5%) at all times",Adds 1096 Max Stamina,"When you taunt an enemy, give yourself and 11 group memebers Minor Courage for 15 seconds (increasing your Weapon and Spell Damage by 129). (can occur every 8 seconds). The Perfected version also adds 1206 Max Health.",Sunspire Trial,Pickup,
,,,,,,(Elsweyr),,
Crest of Cyrodiil,,Adds 129 Stamina Recovery,Adds 1206 Max Health,Adds 1206 Max Health,"After successfully blocking, heal for 8000 Health. (5 second cooldown)",Cyrodiil,Equip,
Crimson Twilight,,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 1206 Max Health,"After taking damage you surround yourself in an 8 meter mist of blood. After 2 seconds the mist is violently siphoned into your body, dealing 8220 Bleed Damage to nearby enemies and healing you for 100% of the damage done. This effect can occur once every 8 seconds.",Castle Thorn,Pickup,
Curse of Doylemish,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 129 Spell Damage; Adds 129 Weapon Damage,"When you hit a taunted monster or any enemy that is stunned or immobilized with a fully-charged Heavy Attack, you deal an additional 12040 Physical Damage. Can occur once every 7 seconds.",Scalecaller Peak,Pickup,
Defending Warrior,,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,"When you block an attack, deal 4000? Magic Damage to all enemies within 10 meters and heal for 100% of the damage done. (up to once every 10 seconds)",Aetherian Archive,Pickup,
Draugr's Heritage,,Adds 4% Healing Taken,Adds 1206 Max Health,Adds 1206 Max Health,"When you take damage while under 35% Health, knock down all enemies within 4 meters for 2 seconds and heal for 7000 Health (up to once every 20 seconds)",The Rift,Equip,
Dragon's Defilement,,Adds 1096 Max Stamina,Adds 1096 Max Stamina,Adds 1206 Max Health,"When you take damage from a melee attack, gain a corrupting aura for 5 seconds that applies Minor Fracture and Minor Breach to all enemies near you, lowering their Physical & Spell Resistance by 1320. (cooldown: 5 seconds)",Lair of Maarselok,Pickup,
Dreugh King Slayer,,Adds 129 Weapon Damage,Adds 129 Weapon Damage,Adds 823 Weapon Critical,"Gain Major Brutality at all times, increasing your Weapon Damage by 20%. When you kill an enemy gain Major Expedition (increases Movement Speed by 30%) for 8 seconds",Fungal Grotto,Pickup,
Duneripper's Scales,,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 4% Healing Taken,"While blocking, Physical & Spell Resistance are increased by 4300?",Volenfell,Pickup,
Durok's Bane,,Adds 1206 Max Health,Adds 129 Health Recovery,Adds 4% Healing Taken,"When you take damage, afflict the attacker with Major Defile (reducing Healing Received by 30%) for 4 seconds (up to once every 8 seconds per enemy)",Selene's Web,Pickup,
Ebon Armory,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 4% Healing Taken,Increases your Max Health by 1000 for you and up to 11 other group members within 28 meters of you,Crypt of Hearts,Pickup,
Elf Bane,,Adds 1096 Max Magicka,Adds 129 Spell Damage,Adds 129 Spell Damage,Increases the duration of your Flame Damage abilities (not beams or channeled abilities) by 2 seconds,Cyrodiil,Equip,
Embershield,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 1487 Armor,"When you deal damage with a fully-charged Heavy Attack, increase Spell Resistance by 3300 and deal 860 Flame Damage to enemies within 5 meters every 1 second for 6 seconds",City of Ash,Pickup,
(since Greymoor),,,,,,,,
Eternal Vigor,,Adds 129 Magicka Recovery,Adds 129 Stamina Recovery,Adds 129 Health Recovery,Adds 1407 Max Health. Adds 337 Stamina & Magicka Recovery while your Health is above 50%. Adds 1011 Health Recovery while your Health is 50% or less.,Greymoor,Equip,
Eternal Warrior,,Adds 4% Healing Taken,"Gain Minor Aegis at all times, reducing damage taken from Dungeon & Trial Monsters by 5%",Adds 1206 Max Health,"When you drop below 25% Health, heal for 12500 Health and gain 100 Ultimate. (cooldown: 1 minute)",any Craglorn Trial,Pickup,
Explosive Rebuke,,Adds 1096 Max Stamina,Adds 1206 Max Health,Adds 129 Weapon Damage;,"When you successfully Block, you place a bomb on the enemy for 10 seconds. When they are hitwith a fully-charged Heavy Attack, the bomb detonates to deal 13150 Flame Damage to all enemies within 8 meters. This can occur once every 8 seconds.",Vateshran Hollows Arena (Markarth),Pickup,
,,,,Adds 129 Spell Damage,,,,
Fasalla's Guile,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 4% Healing Taken,Apply Minor Defile (reduces healing received by 15%) for 2 seconds to all enemies within 5 meters,Cyrodiil,Equip,
Footman's Fortune,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1487 Armor,Increases the amount of damage you block by 8%,Dragonstar Arena,Pickup,
Frozen Watcher,,Adds 1096 Max Stamina,Adds 1206 Max Health,Adds 1096 Max Stamina,"Summon a blizzard around you while blocking, inflicting 1000 Frost Damage every 1 second to enemies within the blizzard. The blizzard also has a 15% chance of inflicting the Chilled condition on enemies damaged.",Depths of Malatar,Pickup,
Galerion's Revenge,,Adds 823 Spell Critical,Adds 129 Magicka Recovery,Adds 129 Spell Damage,"When you deal damage with a Light or Heavy Attack, put a Mark of Revenge on the enemy for 15 seconds. When 6 Marks of Revenge are stacked on an enemy they detonate for 5392 Magic Damage.",Imperial City,Equip,
Glorious Defender,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 129 Weapon Damage,"When you deal damage with a Light or Heavy Attack, have 9% chance to gain 100% Dodge chance against the next attack.",Maelstrom Arena,Pickup,
Grace of Gloom,,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 1206 Max Health,When you take damage you become a living shadow which causes your Light & Heavy Attacks to heal you for 2000 and gain Major Evasion for 10 seconds which increases your dodge chance by 15%. (cooldown 25 seconds),Summerset,Equip,Ebonshadow
(since Greymoor),,,,,,,,
Grave Guardian,,Adds 1096 Max Stamina,Adds 1206 Max Health,Adds 1206 Max Health,"Summon a Stone Aura while blocking, hardening you & nearby group members, increasing Physical & Spell Resistance by 4430.",Unhallowed Grave,Pickup,
Green Pact,,Adds 1206 Max Health,Adds 129 Health Recovery,Adds 1206 Max Health,While you have a food buff active your Max Health is increased by 2500 and Health Recovery by 250,Grahtwood,Equip,
Hagraven's Garden,,Adds 1206 Max Health,Adds 129 Health Recovery,Adds 4% Healing Taken,"When you take damage while under 50% Health, summon a preservation of nature around you for 5 seconds. Any damage you take from enemies outside of the preservation is reduced by 50% and the first time an enemy tries to enter the preservation they are knocked back 5 meters. Cooldown: 45 seconds.",Bloodroot Forge,Pickup,
Hand of Mephala,,Adds 4% Healing Taken,Adds 1206 Max Health,Adds 1487 Armor,"When you take damage, have 10% chance to cast a web around you for 5 seconds which reduces the Movement Speed of enemies within by 50%. After 5 seconds the webs burst into venom, dealing 2580? Poison Damage and applying Minor Fracture (reducing Physical Resistance by 1320) for 5 seconds",Cradle of Shadows,Pickup,
Hatchling's Shell,,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,Gain a damage shield equal to 20% of your Max Health for 15 seconds every 15 seconds.,Shadowfen,Equip,
Haven of Ursus,,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 1206 Max Health,"When you take damage while you are under 50% Health, summon Ursus’s spirit for 6 seconds. You or a group member can activate a synergy on Ursus to grant you a shield that protects you and the activator from 13954 damage for 6 seconds. This effect can occur once every 12 seconds.",Wolfhunter,,
Hide of Morihaus,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1096 Max Stamina,"When you Roll Dodge through an enemy, deal 2189 Physical Damage and knock them down for 3 seconds",Gold Coast,Equip,
Ice Furnace,,Adds 1096 Max Magicka,Adds 823 Spell Critical,Adds 129 Spell Damage,"When you deal direct damage with a Frost Damage ability, have a 50% chance to deal an additional 1136 Flame Damage to all enemies within 8 meters of the initial target (up to once every 1 second)",Direfrost Keep,Pickup,
Immortal Warrior,,Adds 4% Healing Taken,Adds 1206 Max Health,Adds 4% Healing Taken,"After your health goes below 35%, gain Major Protection for 10 seconds, reducing the damage you take by 30%. (cooldown: 35 seconds)",Sanctum Ophidia,Pickup,
Imperial Physique,,Adds 129 Stamina Recovery,Adds 129 Magicka Recovery,Adds 129 Weapon Damage. Adds 129 Spell Damage.,"While in Imperial City, tap into the power of the Tel Var Stones you carry, increasing Health, Magicka and Stamina by 1032. While you have a 4x Tel Var multiplier this effect is increased by 600%.",Imperial City,Equip,
Impregnable Armor,,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 1096 Max Magicka,Adds 1650 Critical Resistance,Battlegrounds,Equip,
(since Greymoor),,,,,,,,
Ironblood,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1487 Armor,"When you take damage, there's an 8% chance to turn your blood to pure iron and gain Major Protection for 10 seconds, reducing damage taken by 30% but your Movement Speed is also reduced by 50%. Cooldown: 15 seconds.",Falkreath Hold,Pickup,
Jailer's Tenacity,,Adds 4% Healing Taken,Adds 1206 Max Health,Adds 4% Healing Taken,"When you lose 7000 25% or more of your Health from a single attack, you gain Major Vitality for 6 seconds, increasing your healing received by 30%.",Wolfhunter,Pickup,
Jolting Arms,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1487 Armor,"When you block an attack, have 50% chance to charge your arms, causing your next Bash ability to deal an additional 5805? Shock Damage and increase your Spell Resistance by 6450? for 6 seconds",Tempest Island,Pickup,
Juggernaut,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1206 Max Health,"When you take damage while under 30% Health, heal for 18060 Health (up to once every 1 minute)",Cyrodiil,Equip,
Knight-Errant's Mail,,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 129 Weapon Damage,"Adds 200? Weapon Damage to One Hand and Shield abilities. Also when you use a One Hand and Shield ability, heal for 1250? Health",Blackheart Haven,Pickup,
Knightmare,,Adds 1487 Armor,Adds 1206 Max Health,Adds 129 Weapon Damage,"When you deal melee damage, have 20% chance to apply Minor Maim (reduces their damage done by 15%) to all enemies within 8 meters for 5 seconds",Spindleclutch,Pickup,
Kyne's Wind,,Adds 129 Magicka Recovery,"Gain Minor Aegis at all times, reducing damage taken from Dungeon & Trial Monsters by 5%",Adds 4% Healing Done,Casting an ability or drinking a potion that applies a Major Buff on yourself or an ally creates a pool of Kyne's Blessing for 4 seconds. You and group members standing in the pool restore 399 Stamina & Magicka every 1 second. (cooldown: 10 seconds),Greymoor,Pickup,
,,,,,,,,
,,,,,Perfected version also adds 129 Magicka Recovery.,,,
Leeching Plate,,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 1206 Max Health,"When you take damage, 20% chance to summon a cloud of leeching poison under the attacker that deals 1200 Poison Damage in a 5 meter radius every 1 second for 5 seconds and heals you for 100% of the damage caused.",Imperial City Prison,Pickup,
(since Elsweyr),,,,,,,,
Livewire,,Adds 4% Healing Taken,Adds 1206 Max Health,Adds 4% Healing Taken,"When you take damage, you have a 25% chance to overload your circuits, applying Concussion to enemies within 8 meters of you and healing for 1000 Health for each enemy hit (can occur every 8 seconds)",Clockwork City,Equip,
Lunar Bastion,,Adds 4% Healing Taken,"Gain Minor Aegis at all times, reducing damage taken from Dungeon & Trial Monsters by 5%",Adds 1206 Max Health,When you activate a synergy receive a lunar blessing for 10 seconds which creates a Damage Shield every 2 seconds that absorbs 2399? damage for you and group members within 8 meters,Maw of Lorkhaj,Pickup,
Mark of the Pariah,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1487 Armor,Increases Physical & Spell Resistance by up to 11094 based on missing Health,Wrothgar,Equip,
Medusa,,Adds 1206 Max Health,Adds 1096 Max Magicka,Adds 129 Spell Damage,"Gain Minor Force at all times, increasing Critical Damage done by 10%",Arx Corinium,Pickup,
Meridia's Blessed Armor,,Adds 1487 Armor,Adds 129 Stamina Recovery,Adds 1487 Armor,"When you block an attack, have 33% chance to blind the attacker causing them to miss all of their attacks for 5 seconds (up to once every 10 seconds)",Coldharbour,Equip,
Mighty Glacier,,Adds 1096 Max Stamina,Adds 1096 Max Magicka,Adds 129 Stamina Recovery;,"When you cast a snare or immobilize ability, or hit a target with a snare or immobilize ability, you and up to 11 group members gain Major Resolve and Major Ward for 15 seconds, increasing your Physical & Spell Resistances by 5280. Can occur at most once every 10 seconds.",Frostvault,Pickup,
,,,,Adds 129 Magicka Recovery,,,,
Nikulas' Armor,,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,When you block a spell projectile you have a 25% chance to reflect the spell back to the enemy,Blessed Crucible,Pickup,
Order of Diagna,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 4% Healing Taken,"Gain Minor Vitality at all times, increasing healing received by 8%",Alik'r Desert,Equip,
Permafrost,,Adds 1206 Max Health,Adds 1096 Max Magicka,Adds 129 Magicka Recovery,"While you have a Damage Shield on you, Health Recovery is increased by 885?",Maelstrom Arena,Pickup,
Plague Doctor,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 3000 Max Health,Deshaan,Equip,
Radiant Bastion,,Adds 1206 Max Health,Adds 129 Weapon Damage,Adds 1206 Max Health,"Deals 10% of all Direct Damage done to you back to the attacker, up to a max of 4250 damage.",Markarth,Equip,
Rattlecage,,Adds 1206 Max Health,Adds 129 Spell Damage,Adds 129 Spell Damage,Adds 100? Spell Damage and gain Major Sorcery (increases Spell Damage by 20%) at all times.,Vaults of Madness,Pickup,
Ravager,,Adds 823 Weapon Critical,Adds 1206 Max Health,Adds 129 Weapon Damage,"Each time you attempt to reduce the target's Physical or Spell Resistance you gain a stack of Ravager for 5 seconds, increasing your Weapon Damage by 125. You can gain a stack every 1 second. At 4 stacks, the duration doubles but cannot be refreshed.",Cyrodiil,Equip,
Reactive Armor,,Adds 1096 Max Stamina,Adds 129 Stamina Recovery,Adds 1206 Max Health,Reduces your Damage Taken by 33% for 5 seconds after being affected by a disabling effect. (cooldown: 20 seconds),Imperial City,Equip,
(since Greymoor),,,,,,,,
Renald's Resolve,,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 1206 Max Health,"Whenever you deal direct damage, gain a stack of Resolve for 10 seconds. Each stack increases your Healing Taken by 1% and your Physical & Spell Resistance by 420. You can only gain one stack of Resolve per second. Max: 8 stacks of Resolve.",Moongrave Fane,Pickup,
Sergeant's Mail,,Adds 1206 Max Health,Adds 129 Health Recovery,Adds 129 Weapon Damage,Increases the damage of fully-charged Heavy Attacks by 2257,Wayrest Sewers,Pickup,
(since Greymoor),,,,,,,,
Seventh Legion Brute,,Adds 129 Weapon Damage,Adds 129 Health Recovery,Adds 823 Weapon Critical,"When you cast an ability that increases your Physical or Spell Resistance, gain 350 Weapon Damage and 350 Health Recovery for 10 seconds. (cooldown: 10 seconds)",Bangkorai,Equip,
Shalk Exoskeleton,,Adds 1206 Max Health,Adds 129 Spell Damage,Adds 823 Spell Critical,"Gain Minor Heroism at all times while in combat, generating 1 Ultimate every 1.5 seconds",Stonefalls,Equip,
Sithis' Touch,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 823 Weapon Critical,"When using Blade of Woe, gain Major Berserk for 20 seconds which increases your damage done by 25%",Gold Coast,Equip,
Soulshine,,Adds 1096 Max Magicka,Adds 823 Spell Critical,Adds 129 Spell Damage,Adds 450 Spell Damage to your cast time and channeled abilities,Reaper's March,Equip,
Steadfast Hero,,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,"When you cleanse a negative effect from yourself or an ally, gain Major Protection for 5 seconds, reducing damage taken by 30%. (cooldown: 10 seconds)",Cyrodiil,,
Storm Knight's Plate,,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,When you take non-Physical damage have 10% chance to deal 4985 Shock Damage to all enemies within 5 meters every 2 seconds for 6 seconds (up to once every 6 seconds),Stormhaven,Equip,
Syvarra's Scales,,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 967 Max Magicka and reduces damage taken from guards by 20%,5% chance that dealing damage triggers a burst of lamia poison dealing 967 Poison Damage in a 5 meter radius and an additional 5802 Poison Damage over 6 seconds -- up to once every 6.5 seconds,Hew's Bane,Equip,
Thunderbug's Carapace,,Adds 1487 Armor,Adds 1487 Armor,Adds 129 Spell Damage,When you take Physical Damage you have a 50% chance to deal 5882 Shock Damage in a 5 meter radius (up to once every 3 seconds),Malabal Tor,Equip,
Thews of the Harbinger,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 1096 Max Stamina,When you block a direct damage attack you deal damage to your attacker equal to 4% of your current Health,Imperial City,Equip,
Tormenter,,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 4% Healing Taken,"When you deal damage with a Charge, Leap, Teleport or Pull ability, gain 3642? Physical & Spell Resistance and Taunt the enemy to attack you for 15 seconds",Banished Cells,Pickup,
Ulfnor's Favor,,Adds 1206 Max Health,Adds 129 Magicka Recovery; Adds 129 Stamina Recovery,Adds 4% Healing Taken,Increases the Magicka or Stamina your Heavy Attacks restore by 30%.,Fang Lair,Pickup,
Undaunted Bastion,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1487 Armor,"When you Taunt an enemy while under 60% Health, gain a Damage Shield that absorbs 13760? Damage for 6 seconds (up to every 10 seconds)",Elden Hollow,Pickup,
Vampire Cloak,,Adds 1206 Max Health,Adds 129 Spell Damage,Adds 1206 Max Health,"Gain Minor Protection at all times, reducing damage taken by 8%",Rivenspire,Equip,
Vanguard's Challenge,,Adds 1206 Max Health,Adds 1206 Max Health,Adds 4% Healing Taken,"When you Taunt an enemy player, they deal 50% less damage to all other Players but 100% more damage to you for 15 seconds. This effect is lost if you enter sneak, invisibility, or move further than 28 meters away from the enemy player.",Battlegrounds,Equip,
Vicecanon of Venom,,Adds 1096 Max Stamina,Adds 129 Weapon Damage,Adds 129 Stamina Recovery,"When you deal Critical Damage from Sneak, inject a leeching poison that deals 15264 Poison Damage over 15 seconds and heals you for 100% of the damage done",Imperial City,Equip,
Vrol's Command,,Adds 1096 Max Stamina,"Gain Minor Aegis at all times, reducing damage taken from Dungeon & Trial Monsters by 5%",Adds 1206 Max Health,"After dealing damage with a Fully-Charged Heavy Attack, apply Major Aegis to you and up to 11 group members for 10 seconds, reducing damage taken from Dungeon, Trial, and Arena enemies by 15%. (cooldown: 36 seconds)",Greymoor,Pickup,
,,,,,,,,
,,,,,Perfected version also adds 4% Healing Taken.,,,
Warrior's Fury,,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 129 Weapon Damage,"When you take Damage, your Weapon Damage is increased by 30 for 5 seconds, stacking up to 20 times (cooldown: 0.5 seconds). Upon reaching 20 stacks, the bonus can no longer refresh but duration will double.",Cyrodiil,Equip,
Warrior-Poet,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1487 Armor,Gain Minor Toughness (+10% Max Health) at all times and gain 1064 Max Health,Vvardenfell,Equip,
Way of Fire,,Adds 129 Weapon Damage,Adds 1096 Max Stamina,Adds 823 Weapon Critical,When you deal damage with a Weapon ability have a 20% chance to deal an additional 4560 Flame Damage (up to every 2 seconds),Craglorn,Equip,
Wyrd Tree's Blessing,,Adds 129 Magicka Recovery,Adds 129 Spell Damage,Adds 129 Magicka Recovery,When you cast a Magicka ability you remove up to 5 negative effects from yourself (up to once every 15 seconds),Glenumbra,Equip,
