Known Traits,Set,Theme,2 pieces,3 pieces,4 pieces,5 pieces
5,Kvatch Gladiator,Stamina DPS,Adds 833 Weapon Critical,Adds 833 Weapon Critical,Adds 129 Weapon Damage,Gain 1475 Weapon Damage against targets at or below 25% Health
6,Law of Julianos,Magicka DPS,Adds 833 Spell Critical,Adds 1096 Max Magicka,Adds 833 Spell Critical,Add 288-299 Spell Damage
4,Magnus' Gift,Magicka DPS,Adds 1096 Max Magicka,Adds 129 Magicka Recovery,Adds 129 Spell Damage,15% chance to negate the cost of casting a Magicka ability
6,Mechanical Acuity,balance,Adds 1096 Max Stamina,Adds 1096 Max Magicka,Adds 129 Weapon Damage;Adds 129 Spell Damage,"When you deal direct damage, gain unerring mechanical vision for 5 seconds, granting you 100% Critical Strike chance. (cooldown: 18 seconds)"
4,Might of the Lost Legion,Tank,Adds 1096 Max Stamina,Adds 1096 Max Magicka,Adds 129 Weapon Damage;Adds 129 Spell Damage,After successfully blocking you gain Empower which increases the damage of your Light & Heavy Attacks by 40% for 3 seconds.
9,Morkuldin,Stamina DPS,Adds 1096 Max Stamina,Adds 129 Stamina Recovery,Adds 129 Weapon Damage,When you deal damage with a Light or Heavy Attack summons an animated weapon to attack your enemies for 15 seconds; its attacks deal 5217 Physical Damage. This can occur once every 15 seconds.
2,Naga's Shaman,Healer,Adds 4% Healing Taken,Adds 4% Healing Done,Adds 1096 Max Magicka,"When you cast a damage shield ability you gain Minor Mending and Minor Vitality for 6 seconds, increasing your healing done and healing received by 8%. This can occur once every 6 seconds."
9,New Moon Acolyte,DPS,Adds 833 Weapon Critical;Adds 833 Spell Critical,Adds 129 Weapon Damage;Adds 129 Spell Damage,Adds 1487 Offensive Penetration,Adds 350 Weapon Damage;Adds 350 Spell Damage;Increases the cost of active abilities by 5%
6,Night Mother's Gaze,Stamina DPS,Adds 833 Weapon Critical,Adds 129 Weapon Damage,Adds 833 Weapon Critical,"When you deal Critical Damage you apply Major Breach to the enemy, reducing their Physical & Spell Resistance by 5948 for 4 seconds"
2,Night's Silence,Stamina DPS,Adds 1096 Max Stamina,Adds 129 Stamina Recovery,Adds 833 Weapon Critical,Ignore Movement Speed penalty while moving in Stealth.
5,Noble's Conquest,Tank,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 4% Healing Taken,"When you bash a target, heal for 9372 Health over 10 seconds and apply Minor Vulnerability to the enemy for 10 seconds, increasing their damage taken by 5%. The heal can only activate once every 10 seconds."
9,Nocturnal's Favor,Tank,Adds 129 Stamina Recovery,Adds 1206 Max Health,Adds 1206 Max Health,"Whenever you successfully Dodge, heal yourself for 9864 Health over 5 seconds (cooldown: 5 seconds)"
8,Oblivion's Foe,balance,Adds 129 Health Recovery,Adds 129 Stamina Recovery,Adds 129 Magicka Recovery,Your Soul Magic attacks deal an extra 2466 damage
8,Orgnum's Scales,Tank,Adds 129 Health Recovery,Adds 1206 Max Health,Adds 1206 Max Health,"While under 60% Health, your Health Recovery is increased by 800 and your Armor is increased by 6400"
9,Pelinal's Aptitude,balance,Adds 1206 Max Health,Adds 129 Stamina Recovery,Adds 129 Magicka Recovery,Your Spell & Weapon Damage both become the highest of the two values
7,Redistributor,balance,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 1096 Max Magicka,"When you overheal yourself, you heal a group member within 15 meters for 2320 Health. (cooldown: 1 second)"
3,"Seducer, Armor of the",Healer,Adds 129 Magicka Recovery,Adds 1096 Max Magicka,Adds 129 Magicka Recovery,Reduces the cost of your Magicka abilities by 10%
6,Senche-raht's Grit,Tank,Adds 4% Healing Done,Adds 1206 Max Health,Adds 4% Healing Taken,"After being damaged by a damage over time ability, increase your Healing Received by 6% and your Armor (Physical & Spell Resistance) by 2585 for 3 seconds."
6,Shacklebreaker,balance,Adds 129 Stamina Recovery,Adds 129 Magicka Recovery,Adds 129 Weapon Damage;Adds 129 Spell Damage,Adds 2065 Max Stamina;Adds 2065 Max Magicka
8,Shalidor's Curse,Tank,Adds 1206 Max Health,Adds 4% Healing Taken,Adds 1206 Max Health,"While under 50% Health, dealing damage with a Light or Heavy Attack heals you for 3288 Health (cooldown: 1 second)"
6,Sload's Semblance,Magicka DPS,Adds 1096 Max Magicka,Adds 1096 Max Stamina,Adds 129 Weapon Damage;Adds 129 Spell Damage,"Damaging an enemy has a 10% chance to put a Leeching Shadow on them, dealing 3% of the target's Max Health as Oblivion Damage every 1 second for 6 seconds. (cannot be reflected; can occur every 6 seconds) Each tick's maximum damage is 2895-3000"
5,Song of Lamae,Tank,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,"When you take damage while under 30% Health, you deal 5073 Magic Damage to the attacker and heal for the damage done. (cooldown: 3 seconds)"
8,Spectre's Eye,Tank,Adds 1487 Armor,Adds 1096 Max Magicka,Adds 1206 Max Health,Gain Major Evasion (reducing damage from area attacks by 20%) for 30 seconds after casting a spell that costs Magicka (limited to once every 30 seconds)
3,Spell Parasite Set,Magicka DPS,Adds 129 Spell Damage,Adds 833 Spell Critical,Adds 1096 Max Magicka,"Whenever you deal damage, you restore 61-63 Magicka (limited to once every 0.25 seconds)"
5,Stuhn's Favor Set,DPS,Adds 129 Weapon Damage;Adds 129 Spell Damage,Adds 1487 Offensive Penetration,Adds 129 Weapon Damage;Adds 129 Spell Damage,When you deal damage to an enemy who is Off Balance your Physical Penetration & Spell Penetration increases by 5312 for 10 seconds
5,Tava's Favor,balance,Adds 1206 Max Health,Adds 129 Stamina Recovery,Adds 129 Magicka Recovery,"When you dodge an attack, receive the blessing of Tava, generating 12 Ultimate over 3 seconds. (cooldown: 3 seconds)"
3,Torug's Pact,Tank,Adds 129 Spell Damage,Adds 1206 Max Health,Adds 1487 Armor,Reduce weapon enchantment's internal cooldown by 33% and increase enchantment potency (except Oblivion Damage) by 45%
3,Trial by Fire,Tank,Adds 1206 Max Health,Adds 1487 Armor,Adds 4% Healing Taken,"While under an Elemental Status Effect, gain 8500 Armor."
9,Twice-Born Star,balance,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 1096 Max Magicka,You can have two Mundus Stone boons at the same time
3,Twilight's Embrace,Magicka DPS,Adds 1096 Max Magicka,Adds 833 Spell Critical,Adds 129 Spell Damage,Increases Healing Received by 10%
3,Unchained Aggressor,Stamina DPS,Adds 1096 Max Stamina,Adds 129 Stamina Recovery,Adds 129 Weapon Damage;Adds 129 Spell Damage,"After Breaking Free, gain Major Berserk for 12 seconds, increasing your damage done by 10%. This can occur once every 14 seconds."
5,Vampire's Kiss,Tank,Adds 129 Health Recovery,Adds 1206 Max Health,Adds 4% Healing Taken,"When you kill an enemy, heal for 8800 Health over 6 seconds"
7,Varen's Legacy,Tank,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 4% Healing Taken,"After Blocking, your next direct damage Area of Effect attack within 5 seconds will deal an additional 3175-3290 Damage. (excludes channeled effects; cooldown: 2 seconds)"
3,Vastarie's Tutelage,balance,Adds 1096 Max Stamina,Adds 1206 Max Health,Adds 1096 Max Magicka,"Adds 129 Stamina Recovery;Adds 129 Magicka Recovery;When you resurrect an ally, you & your ally gain 258 Weapon & Spell Damage and 10% cost reduction to non-Ultimate abilities for 10 seconds."
8,Way of the Arena,balance,Adds 1206 Max Health,Adds 1096 Max Magicka,Adds 1096 Max Stamina,Reduces the cost of Break Free by 40%
4,Whitestrake's Retribution,Tank,Adds 1206 Max Health,Adds 1487 Armor,Adds 129 Health Recovery,"When you take damage while you are under 30% Health, gain a damage shield for 6 seconds that absorbs up to 13035 damage. (cooldown: 15 seconds)"
6,Willow's Path,balance,Adds 129 Magicka Recovery,Adds 129 Stamina Recovery,Adds 129 Health Recovery,"Increases your Health, Magicka, and Stamina recovery by 25%"
